build,content_version,case_id,subject,subject_id_or_name,subject_class,center_tile,control_subject,highlighted_or_associated_tiles,legal_neighbor_tiles,blocked_neighbor_tiles,path_preview_or_result,melee_target_tiles,area_preview_tiles,move_old_center,move_new_center,displaced_units,video_or_screenshot,interpretation,notes
,,R14-A,/66 Гигант,/66,Гигант,G,,,,,,,,,,,,,
,,R14-B,/66 Гигант,/66,Гигант,G,,,,,,,,,,,,,
,,R14-C,/66 Гигант,/66,Гигант,G,,,,,,,,,,,,,
,,R14-D,/66 Гигант,/66,Гигант,G,,,,,,,,,,,,,
,,R14-E,/66 Гигант,/66,Гигант,G,,,,,,,,,,,,,
